Error: 06/06/2016 [10:40:39] - sr: No such file or directory
Error: 06/06/2016 [10:50:15] - .: Bad address
Error: 06/06/2016 [11:24:43] - toto: No such file or directory
Error: 06/06/2016 [11:24:47] - aaaaaaaaa: No such file or directory
Error: 06/06/2016 [11:24:47] - h: No such file or directory
Error: 06/06/2016 [11:24:47] - hh: No such file or directory
Error: 06/06/2016 [11:24:47] - rrr: No such file or directory
Error: 06/06/2016 [11:24:47] - toto: No such file or directory
Error: 06/06/2016 [12:03:42] - //boot/efi: Permission denied
Error: 06/06/2016 [12:03:42] - //etc/cups/ssl: Permission denied
Error: 06/06/2016 [12:03:42] - //etc/polkit-1/localauthority: Permission denied
Error: 06/06/2016 [12:03:42] - //etc/ssl/private: Permission denied
Error: 06/06/2016 [12:03:44] - //lost+found: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1/map_files: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1/task/1/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1/task/1/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/1/task/1/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/10/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/10/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/10/map_files: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/10/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/10/task/10/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/10/task/10/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/10/task/10/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/10659/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/10659/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/10659/map_files: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/10659/ns: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/10659/task/10659/fd: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/10659/task/10659/fdinfo: Permission denied
Error: 06/06/2016 [12:03:44] - //proc/10659/task/10659/ns: Permission denied
